Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la información facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
13/03/2023;Mujer;Francia;;En pareja;De 4 a 7 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;9;9;9;10;9;9;10;10;Sí;9;9;9;;9;No ha buscado información;7;5;+65;;Ocio, recreo y vacaciones;9;5;9;9;PIT de Callao;Avión;9;9
13/03/2023;Mujer;Francia;;En pareja;3 noches;;10;esmadrid.com;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;2;6;9;10;Sí;NS/NC;NS/NC;8;;7;Internet/web (Indicar páginas);3;10;15-24;;Ocio, recreo y vacaciones;10;9;NS/NC;10;PIT de Atocha;Avión;10;6
13/03/2023;Mujer;Italia;;Con amigos;2 noches;;9;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;9;9;10;10;10;Sí;9;8;9;;9;No ha buscado información;8;8;25-44;;Ocio, recreo y vacaciones;10;9;9;10;PIT del Aeropuerto T-2;Avión;10;9
13/03/2023;Mujer;España;Las Palmas;Otras formas (Indicar);2 noches;grupo;9;;9;9;;Los ha encontrado en su recorrido;;9;9;9;9;9;9;9;9;9;Sí;9;3;8;;9;No ha buscado información;9;3;+65;;Compras;9;5;9;9;PIT del Paseo del Prado;Avión;9;9
13/03/2023;Mujer;Argentina;;Con amigos;De 4 a 7 noches;;9;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;9;8;9;9;9;Sí;8;7;9;;9;No ha buscado información;7;10;25-44;;Ocio, recreo y vacaciones;10;10;8;9;PIT del Aeropuerto T-2;Avión;10;8
13/03/2023;Mujer;México;;En pareja;2 noches;;9;;9;10;;Los ha encontrado en su recorrido;;9;9;10;10;9;9;10;10;9;Sí;NS/NC;NS/NC;10;;10;Guías turísticas publicadas sobre la ciudad;5;10;25-44;;Ocio, recreo y vacaciones;9;9;NS/NC;10;PIT del Aeropuerto T-4;Avión;10;NS/NC
13/03/2023;Mujer;España;Barcelona;Sólo;3 noches;;10;;10;5;;Los había visto anteriormente;;10;10;10;10;10;8;10;10;10;Sí;9;6;3;;10;No ha buscado información;6;2;45-64;;Estudios;10;3;7;10;Centro de Turismo de la Plaza Mayor;Tren;10;7
13/03/2023;Mujer;Estados Unidos;;En familia;De 4 a 7 noches;;9;;9;10;;Los ha encontrado en su recorrido;;10;10;9;9;9;10;9;9;10;Sí;9;9;9;;9;No ha buscado información;7;9;25-44;;Ocio, recreo y vacaciones;10;9;9;10;PIT de Callao;Avión;10;7
13/03/2023;Mujer;España;Santa Cruz de Tenerife;En familia;3 noches;;9;google;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;9;10;10;Sí;9;8;8;;NS/NC;Internet/web (Indicar páginas);6;10;25-44;;Gastronomía;10;8;9;10;PIT Palacio Real;Avión;10;8
13/03/2023;Mujer;Chile;;En familia;De 4 a 7 noches;;7;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;7;8;9;8;Sí;8;8;10;;10;No ha buscado información;8;10;25-44;;Ocio, recreo y vacaciones;10;10;8;7;Centro de Turismo de la Plaza Mayor;Avión;10;8
13/03/2023;Hombre;España;Barcelona;Con amigos;2 noches;;10;instagram;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;NS/NC;10;10;10;Sí;NS/NC;NS/NC;10;;10;Internet/web (Indicar páginas);NS/NC;4;25-44;;Ocio, recreo y vacaciones;10;9;NS/NC;8;;Tren;10;NS/NC
13/03/2023;Hombre;España;Tarragona;En pareja;3 noches;;9;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;9;8;9;10;10;Sí;NS/NC;NS/NC;10;;10;Guías turísticas publicadas sobre la ciudad;6;10;+65;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Coche particular;10;8
13/03/2023;Mujer;Países Bajos;;En pareja;3 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;4;8;7;10;Sí;NS/NC;NS/NC;8;;6;Guías turísticas publicadas sobre la ciudad;2;6;+65;;Ocio, recreo y vacaciones;10;7;NS/NC;10;PIT de Atocha;Avión;10;7
13/03/2023;Mujer;Argentina;;En pareja;De 4 a 7 noches;;9;;10;NS/NC;;Los había visto anteriormente;;9;9;10;10;9;8;10;10;10;Sí;NS/NC;NS/NC;9;;9;No ha buscado información;8;9;45-64;;Ocio, recreo y vacaciones;10;9;NS/NC;10;PIT del Paseo del Prado;Avión;9;9
13/03/2023;Mujer;México;;Con amigos;De 4 a 7 noches;;9;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;9;10;9;9;9;9;9;9;9;Sí;9;8;9;;9;No ha buscado información;8;9;25-44;;Ocio, recreo y vacaciones;10;9;9;9;PIT del Aeropuerto T-2;Avión;9;9
13/03/2023;Hombre;Francia;;En pareja;De 4 a 7 noches;;9;;9;9;;Los ha encontrado en su recorrido;;10;9;10;9;9;6;9;8;9;Sí;8;9;9;;8;Guías turísticas publicadas sobre la ciudad;8;9;45-64;;Ocio, recreo y vacaciones;10;8;8;8;Centro de Turismo de la Plaza Mayor;Avión;9;9
13/03/2023;Mujer;España;Valladolid;En pareja;2 noches;;10;;NS/NC;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;9;10;10;Sí;NS/NC;8;NS/NC;;NS/NC;No ha buscado información;6;NS/NC;+65;;Ocio, recreo y vacaciones;10;NS/NC;NS/NC;9;PIT Palacio Real;Tren;10;NS/NC
13/03/2023;Hombre;Estados Unidos;;En pareja;3 noches;;10;Booking;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);9;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;PIT del Aeropuerto T-4;Avión;10;10
13/03/2023;Hombre;España;Barcelona;Sólo;3 noches;;10;esmadrid.com;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;9;10;10;3;8;8;10;Sí;NS/NC;NS/NC;7;;6;Internet/web (Indicar páginas);2;10;25-44;;Negocios;10;10;NS/NC;9;PIT de CentroCentro;Avión;10;7
13/03/2023;Hombre;México;;Sólo;2 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;No;10;10;10;;10;No ha buscado información;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de Callao;Avión;10;10
13/03/2023;Hombre;España;Vizcaya;Sólo;De 1 a 2 semanas;;10;;10;NS/NC;;Los había visto anteriormente;visita familiares;10;10;10;10;10;4;9;9;10;Sí;NS/NC;NS/NC;9;;6;No ha buscado información;3;10;+65;;Otros (Indicar cuál);10;10;NS/NC;10;PIT de Atocha;Autobús;10;8
